Date,Price,Open,High,Low,Vol.,Change %
02/11/2022,"1,324.03","1,324.21","1,330.61","1,316.56",194.64M,-0.91%
02/10/2022,"1,336.23","1,344.58","1,348.04","1,326.80",213.63M,-0.29%
02/09/2022,"1,340.07","1,333.19","1,342.24","1,331.74",239.68M,1.59%
02/08/2022,"1,319.05","1,319.00","1,327.62","1,311.80",216.71M,0.00%
02/07/2022,"1,319.11","1,314.75","1,322.01","1,303.54",173.24M,0.97%
02/04/2022,"1,306.44","1,322.78","1,324.07","1,298.03",216.18M,-0.56%
02/03/2022,"1,313.75","1,336.46","1,336.90","1,312.91",229.71M,-1.76%
02/02/2022,"1,337.23","1,342.82","1,348.04","1,337.08",202.25M,0.00%
02/01/2022,"1,337.19","1,330.34","1,337.60","1,325.62",193.73M,1.42%
01/31/2022,"1,318.51","1,319.74","1,325.63","1,306.56",215.12M,0.80%
01/28/2022,"1,307.99","1,318.95","1,318.95","1,286.30",249.49M,-0.88%
01/27/2022,"1,319.57","1,292.34","1,326.22","1,292.34",232.31M,0.40%
01/26/2022,"1,314.35","1,300.10","1,322.69","1,300.10",216.86M,2.07%
01/25/2022,"1,287.71","1,298.29","1,300.04","1,278.00",227.08M,0.38%
01/24/2022,"1,282.86","1,326.94","1,334.76","1,277.12",291.60M,-3.91%
01/21/2022,"1,335.09","1,337.61","1,344.34","1,323.58",235.68M,-1.76%
01/20/2022,"1,358.95","1,355.07","1,359.18","1,344.79",180.55M,0.70%
01/19/2022,"1,349.54","1,340.61","1,359.36","1,340.01",214.72M,0.15%
01/18/2022,"1,347.57","1,355.57","1,356.07","1,340.95",190.70M,-1.06%
01/17/2022,"1,361.98","1,359.58","1,364.92","1,353.53",143.56M,0.38%
01/14/2022,"1,356.84","1,355.65","1,362.88","1,353.39",220.68M,-0.93%
01/13/2022,"1,369.53","1,366.97","1,375.24","1,363.44",196.39M,-0.02%
01/12/2022,"1,369.84","1,368.78","1,373.84","1,361.13",211.95M,0.92%
01/11/2022,"1,357.31","1,358.64","1,363.76","1,352.14",167.21M,0.99%
01/10/2022,"1,343.97","1,369.63","1,370.56","1,341.69",182.03M,-1.40%
01/07/2022,"1,363.02","1,368.33","1,370.78","1,355.77",174.67M,-0.16%
